5,1,269,68,475,0.1431578947,4847,4000000
1,1,68,4,85,0.04705882353,1062,925000
7,2,65,2,63,0.03174603175,532,0
3,1,100,35,267,0.1310861423,1456,3750000
1,1,53,9,65,0.1384615385,685,894166
1,3,54,7,82,0.08536585366,721,912500
1,1,1,0,1,0,10,600000
5,2,285,15,297,0.05050505051,2918,800000
1,1,9,1,14,0.07142857143,124,630000
4,1,244,56,433,0.129330254,3721,2000000
1,2,18,1,18,0.05555555556,219,772500
10,4,777,187,1471,0.1271244052,13635,3750000
9,1,683,218,1782,0.1223344557,14215,6800000
8,4,445,34,569,0.05975395431,4989,0
3,1,96,10,138,0.07246376812,1223,800000
3,2,22,0,34,0,255,650000
9,6,429,95,698,0.1361031519,5680,4000000
9,5,483,88,900,0.09777777778,7187,2400000
7,3,533,147,1294,0.1136012365,9233,5600000
1,1,68,13,93,0.1397849462,834,894166
1,1,3,0,0,0,23,0
8,2,526,188,1455,0.129209622,9212,7250000
4,2,119,11,97,0.1134020619,1081,650000
10,4,509,62,776,0.07989690722,6546,2083333
1,1,2,0,2,0,12,575000
9,2,545,112,1200,0.09333333333,9571,5850000
5,3,171,14,191,0.07329842932,2060,0
4,2,208,52,463,0.1123110151,3471,6000000
7,3,495,98,947,0.1034846885,7892,3300000
3,1,207,58,582,0.09965635739,3263,3750000
1,1,1,0,0,0,9,610000
8,3,473,67,844,0.07938388626,6184,2000000
1,1,7,0,6,0,62,875000
10,3,679,225,2049,0.1098096633,12703,4250000
10,4,317,10,207,0.04830917874,1555,600000
2,1,154,34,322,0.1055900621,2329,2500000
10,2,678,132,1355,0.09741697417,10836,4500000
1,1,2,1,8,0.125,25,600000
8,2,556,146,1135,0.1286343612,10213,4700000
4,3,266,58,592,0.09797297297,4160,4000000
5,1,12,1,10,0.1,77,0
1,1,6,1,9,0.1111111111,54,912500
2,1,66,12,92,0.1304347826,900,633333
3,1,189,31,305,0.1016393443,2946,3200000
9,5,180,22,226,0.09734513274,2053,575000
3,1,169,40,335,0.1194029851,2528,2475000
5,4,53,3,51,0.05882352941,516,600000
10,1,671,82,943,0.08695652174,8263,1900000
7,5,463,129,1009,0.1278493558,7150,1700000
1,1,43,6,48,0.125,527,711666
3,2,21,1,29,0.03448275862,191,600000
9,4,544,133,967,0.1375387797,8483,4650000
8,1,496,144,1264,0.1139240506,9626,8275000
10,3,361,19,370,0.05135135135,3455,1500000
8,1,549,57,679,0.08394698085,5880,1333333
9,4,359,20,316,0.06329113924,3571,0
