3,1,191,39,385,0.1012987013,3217,2550000
2,1,99,6,106,0.05660377358,1196,637500
9,4,132,7,147,0.04761904762,1283,575000
2,1,69,6,59,0.1016949153,809,950000
2,1,135,30,235,0.1276595745,1834,1100000
4,2,237,46,401,0.114713217,3747,1900000
4,1,219,59,585,0.1008547009,3533,3500000
10,2,708,200,1739,0.1150086256,13481,5000000
1,1,11,0,6,0,97,842500
2,1,55,10,74,0.1351351351,727,767500
2,1,134,38,293,0.1296928328,1908,711666
10,6,732,204,2336,0.08732876712,15148,3000000
4,2,223,8,168,0.04761904762,1795,850000
1,1,6,0,9,0,62,631666
10,6,689,180,1512,0.119047619,12663,0
3,1,173,56,395,0.1417721519,3050,3333333
1,2,5,1,3,0.3333333333,57,0
1,1,13,1,19,0.05263157895,131,890000
3,2,15,1,13,0.07692307692,130,575000
1,1,14,1,34,0.02941176471,168,652500
1,1,80,11,104,0.1057692308,1100,828333
10,5,676,162,1653,0.09800362976,11415,2500000
2,1,47,9,50,0.18,554,874125
2,2,22,0,11,0,156,575000
10,3,449,45,598,0.07525083612,5782,0
3,2,161,29,298,0.09731543624,2507,4750000
10,3,587,52,720,0.07222222222,8387,3000000
4,1,148,22,235,0.09361702128,1929,1500000
10,1,669,190,1901,0.09994739611,12638,6875000
10,1,627,302,2093,0.1442904921,13204,8700000
10,4,476,26,355,0.07323943662,3340,575000
4,2,30,1,19,0.05263157895,366,600000
1,1,53,13,100,0.13,818,1650000
7,3,480,184,1508,0.1220159151,8554,5000000
2,1,103,25,210,0.119047619,1580,778333
1,1,34,1,33,0.0303030303,377,600000
4,2,130,21,163,0.1288343558,1662,775000
5,1,182,53,407,0.1302211302,2669,2750000
2,1,156,53,331,0.1601208459,2787,925000
5,2,299,33,452,0.07300884956,4060,1250000
3,2,168,17,233,0.07296137339,2460,950000
10,4,604,43,550,0.07818181818,5796,1200000
8,3,412,27,325,0.08307692308,4432,875000
1,1,30,4,38,0.1052631579,368,600000
1,1,70,4,76,0.05263157895,927,894166
10,1,688,175,1368,0.1279239766,11008,4500000
8,6,473,116,1016,0.1141732283,7916,2200000
6,1,358,32,477,0.06708595388,4175,1000000
3,1,158,18,239,0.07531380753,2664,3000000
11,4,695,151,1317,0.1146545178,12351,3000000
10,3,570,85,711,0.1195499297,6918,575000
1,1,9,0,3,0,93,894166
10,4,584,37,862,0.04292343387,5278,1200000
8,2,622,120,968,0.1239669421,9281,3000000
2,1,99,11,169,0.0650887574,1210,900000
6,1,368,77,583,0.1320754717,5613,3937500
10,3,695,199,1661,0.119807345,12276,4000000
6,4,140,18,216,0.08333333333,1623,625000
1,1,1,0,1,0,16,925000
10,4,743,298,2054,0.1450827653,12610,6500000
7,1,254,23,291,0.07903780069,2972,1750000
11,1,771,303,2348,0.1290459966,15437,6666666
10,4,634,141,1418,0.09943582511,10102,3750000
3,1,85,11,126,0.0873015873,1088,875000
6,1,377,116,768,0.1510416667,6027,4500000
4,2,59,5,66,0.07575757576,491,600000
5,4,117,10,135,0.07407407407,982,600000
2,1,138,20,259,0.07722007722,2027,759166
5,1,238,37,343,0.1078717201,3389,1950000
4,2,198,30,395,0.07594936709,2412,900000
9,2,607,151,1286,0.1174183515,11437,6000000
9,1,587,268,2095,0.1279236277,12038,9500000
3,4,87,9,109,0.08256880734,945,625000
6,3,290,69,424,0.1627358491,3844,3000000
10,3,700,86,983,0.08748728383,9716,1250000
10,3,583,228,1761,0.129471891,10662,1100000
6,2,363,60,587,0.1022146508,5248,3500000
9,1,643,228,1979,0.1152097019,12000,6000000
10,5,611,148,1371,0.1079504012,9857,3333333
10,4,642,55,724,0.07596685083,8789,1850000
11,3,386,102,982,0.1038696538,7618,4027143
5,1,299,106,955,0.1109947644,5653,6000000
7,3,243,23,353,0.06515580737,3002,0
6,1,379,139,1187,0.1171019377,6813,6000000
4,1,194,16,144,0.1111111111,1790,950000
5,1,180,13,170,0.07647058824,2198,800000
3,1,70,12,85,0.1411764706,875,875000
2,1,35,4,33,0.1212121212,346,630000
2,1,13,0,12,0,122,772500
3,2,23,1,36,0.02777777778,277,575000
2,1,37,4,70,0.05714285714,477,894166
1,1,3,0,4,0,40,894166
9,2,643,182,1344,0.1354166667,11708,4250000
8,1,366,59,746,0.07908847185,5250,2125000
1,1,2,0,0,0,13,575000
5,2,82,6,81,0.07407407407,725,575000
3,1,148,37,344,0.1075581395,2031,3250000
7,2,173,11,217,0.05069124424,1812,575000
5,1,99,17,182,0.09340659341,1300,650000
3,2,162,30,262,0.1145038168,2310,1200000
2,1,97,14,149,0.09395973154,1295,3000000
8,1,576,205,1726,0.1187717265,11144,10500000
8,4,471,127,1127,0.1126885537,7288,0
9,4,104,4,94,0.04255319149,915,600000
5,2,105,35,231,0.1515151515,1455,925000
10,4,663,200,2061,0.09704027171,11278,5000000
7,2,412,86,765,0.1124183007,6383,3283333
8,1,450,117,1144,0.1022727273,8378,2800000
2,1,118,13,148,0.08783783784,1342,1000000
10,3,681,136,1143,0.1189851269,12593,1750000
10,3,621,98,957,0.1024033438,9432,900000
10,4,667,109,908,0.1200440529,9835,0
9,5,507,134,917,0.1461286805,7926,0
10,2,704,115,906,0.1269315673,11122,3125000
8,2,495,81,1007,0.08043694141,7089,2750000
10,1,759,202,1880,0.1074468085,13979,5000000
10,4,764,82,941,0.087141339,11396,1200000
7,3,469,68,654,0.1039755352,6945,2500000
7,3,412,57,564,0.1010638298,6011,1800000
10,4,619,202,1504,0.1343085106,10410,0
10,2,691,274,2385,0.114884696,12906,7538461
